"text","answer"
14,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
15,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [a], -, The, sentence, mentions, good, quality, and, affordability, which, relates, positively, to, economic, sustainability., [c], -, This, sentence, only, mentions, the, price, without, context, related, to, economic, sustainability., [c], -, This, sentence, is, about, personal, impressions, and, color, preference, unrelated, to, economic, sustainability., [c], -, This, sentence, is, about, personal, color, preference, unrelated, to, economic, sustainability., [c], -, This, sentence, is, about, personal, preference, for, a, smell, unrelated, to, economic, sustainability., [c], -, This, sentence, is, about, personal, preference, for, certain, perfumes, unrelated, to, economic, sustainability., [c], -, This, sentence, lists, ingredients, unrelated, to, economic, sustainability., [c], -, This, sentence, compares, ingredients, unrelated, to, economic, sustainability., [c], -, This, sentence, is, about, personal, preference, unrelated, to, economic, sustainability., [c], -, This, sentence, is, about, personal, preference, for, a, scent, unrelated, to, economic, sustainability., [c], -, This, sentence, compares, a, scent, to, another, product, unrelated, to, economic, sustainability., [c], -, This, sentence, discusses, market, trends, unrelated, to, economic, sustainability., [c], -, This, sentence, predicts, success, for, a, product, unrelated, to, economic, sustainability., [c], -, This, sentence, discusses, gift-giving, and, personal, preference, unrelated, to, economic, sustainability., [c], -, This, sentence, is, about, personal, preference, unrelated, to, economic, sustainability., [c], -, This, sentence, discusses, personal, preference, for, branding, and, scent, unrelated, to, economic, sustainability., [c], -, This, sentence, describes, a, scent, unrelated, to, economic, sustainability., [c], -, This, sentence, describes, a, scent, unrelated, to, economic, sustainability., [c], -, This, sentence, names, a, product, unrelated, to, economic, sustainability., [c], -, This, sentence, discusses, a, personal, opinion, about, a, product, name, unrelated, to, economic, sustainability., c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
16,"c, c, c, c, c, a, c, c, c, a, c, c, c, c, c, a, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c"
17,"c, c, a, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, [c], [c], [c], [c], [c], [c], [c], [c]"
18,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, a, c, c, c, c, c, c, c, c, a, c, c, c, a, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c"
19,"c, c, c, a, a, a, c, b, c, c, c, a, c, a, b, b, c, b, c, b, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c"
20,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
21,"c, c, c, c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c"
22,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c"
23,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
24,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
25,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c"
26,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
27,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
28,"c, c, c, c, c, c, c, c, c, c, c, c, c"
29,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
30,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
31,"c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
32,"c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [a], [c], [c], [c], [a], [c], [a], c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, b, c, a, c, c, a, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c"
33,"c, a, b, b, b, c, b, b, b, b, a, a, a, a, c, c, b, a, a, b, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, a, b, b, c, a, a, a, a, a, c, c, c, c, c, c, c, c"
34,"c, c, c, a, c, c, c, c, a, c, c, a, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, a, a, a, c, b, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
35,"[c], [c], [a], [a], [c], [a], [c], [c], [c], [c], [c], [c], [a], [c], [c], [c], [a], [c], [c], [c], c, c, c, c, c, c, a, c, c, c, c, c, c, c, a, a, a, a, a, a, c, a, c, c, c, c, c, c, a, a, c, c, c, a, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, a, c, c, a, c, c, c, c, c, c, a, c, a, c, c"
36,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c"
37,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
38,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, a, c, a, [a], [a], [a], [b], [a], [a], [a], [c], [c], [c], [c]"
39,"[c], [c], [c], [a], [a], [b], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, a, a, c"
40,"c, a, a, a, c, c, b, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, b, a, a, c, c, c, c, c, c, c, c, a, c, c, c, a, c, c, c, c, c, c"
41,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, a, c, c, c, c"
42,"c, c, c, c, c, a, c, c, c, a, c, a, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, b, b, b, b, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, b, c, a, c, c, c, b, b, b, b, a, c, c, c, c"
43,"c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, a, c, a, c, c, a, c, c, c, c, c, c"
44,"c, c, c, c, c, c, c, c, c, a, c, c, c, c, a, c, a, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, a, c, c, c, c, a, c, c, c, c, a, c, c, c, c, c, c, a, c, a, c, c, c, c, c, c"
45,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, b, b, c, c, c, a, c, c, c, c, c"
46,"c, c, c, c, c, c, c, c, a, a, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, b, c, c, c, c, [c]"
47,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, b, c, c, a, a, c, c, c, c"
48,"[a], [c], [c], [c], [c], [a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], [c], c, c, c, a, a, a, a, a, a, a, c, c, c, c, a, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c, a, c, c"
49,"c, a, c, c, a, c, c, c, c, c, c, c, c, a, a, a, a, a, c, a, c, c, c, c, c, c, c, a, c, c, c, c, c, c"
50,"c, c, c, c, c, c, c, c, c, c, c"
51,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
52,"c, c, a, a, a, c, a, c, c, c"
53,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
54,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
55,"c, c, c, c, a, c, c, c, a, c, c, c, c"
56,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
57,"c, c, c, c, c, c, c, c, c, a, c, c, c, c, c"
58,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
59,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
60,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
61,"c, c, c, c, c, c, c, c, c, c, c"
62,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
63,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, a, c, c, c, c"
64,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
65,"c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, [c], [c], [c], [c], [a], [a], [c], [c], [c], [c], [c], [c], [c], [c], [c], [a], [c], [c], [c], [a], c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c, c"
66,"c, c, c, c"
67,"c, c, c, c, c, c, c, c, c, c, c, c, c, c"
